"dataset","representation","gene","mean","sd","p25","median","p75"
"GSE160638","samplewise_z","TLR1",0.752455912278294,0.439141658379367,0.348682834064411,0.79518947257882,1.13557274448915
"GSE160638","samplewise_z","TRIM71",-0.725817908172976,1.00293538549806,-1.58799464695845,-1.02866171299692,0.211484953377896
"GSE160638","samplewise_z","VARS2",1.21821733577229,0.292132221976076,1.0172441260777,1.21538293975721,1.40738721779661
"GSE91061","samplewise_z","DENND2A",0.200409523931267,0.853204770772528,-0.356470778570573,-0.0732232106440937,0.511714089193923
"GSE91061","samplewise_z","FCRL1",-0.744907453128784,0.44878437944588,-0.940610429155628,-0.867471509818075,-0.690808452825011
"GSE91061","samplewise_z","FCRL2",-0.756548971581351,0.367378547590549,-0.950263745137581,-0.874722666864422,-0.659481792936307
"GSE91061","samplewise_z","MS4A1",-0.0118291984536873,0.90963747370412,-0.752160592809809,-0.445237022644913,0.527328465154053
"GSE91061","samplewise_z","PLCG2",0.896277495609689,0.596632382325547,0.465007817322098,0.967466415216315,1.34522313972662
"GSE91061","samplewise_z","RASL10B",-0.378619404557441,0.625214923200016,-0.775911393679655,-0.63601237960471,-0.214565695457209
"GSE91061","samplewise_z","SCARF2",0.998836482049567,0.86571642881153,0.333310549307855,1.01766464614188,1.74089941257576
"GSE91061","samplewise_z","SDR42E1",-0.589313270030527,0.616253528793827,-0.917207824948361,-0.727984720887622,-0.479295780434757
"GSE91061","samplewise_z","TICRR",-0.0128978997870387,0.557220725881677,-0.384564524531069,-0.0632302584117589,0.389925623633113
"GSE91061","samplewise_z","TLR1",1.4242634338463,0.73073944460476,0.953896676401512,1.56171298083742,1.93498351449297
"GSE91061","samplewise_z","TRIM71",-0.857068832527655,0.34590120898323,-1.06386709998213,-0.914729381496977,-0.714765101153365
"GSE91061","samplewise_z","VARS2",-0.168601905370339,0.340694785439022,-0.378422668371301,-0.220008117126411,0.112126974437216
