"threshold","Accuracy","Sensitivity","Specificity","Balanced_Accuracy","selected"
0.67,0.833333333333333,0.772727272727273,0.928571428571429,0.850649350649351,FALSE
0.68,0.833333333333333,0.772727272727273,0.928571428571429,0.850649350649351,FALSE
0.69,0.805555555555556,0.727272727272727,0.928571428571429,0.827922077922078,FALSE
0.7,0.805555555555556,0.727272727272727,0.928571428571429,0.827922077922078,FALSE
0.71,0.805555555555556,0.727272727272727,0.928571428571429,0.827922077922078,FALSE
0.72,0.805555555555556,0.727272727272727,0.928571428571429,0.827922077922078,FALSE
0.73,0.805555555555556,0.727272727272727,0.928571428571429,0.827922077922078,FALSE
0.74,0.805555555555556,0.727272727272727,0.928571428571429,0.827922077922078,FALSE
0.75,0.805555555555556,0.727272727272727,0.928571428571429,0.827922077922078,FALSE
0.76,0.777777777777778,0.681818181818182,0.928571428571429,0.805194805194805,FALSE
0.77,0.777777777777778,0.681818181818182,0.928571428571429,0.805194805194805,FALSE
0.78,0.75,0.636363636363636,0.928571428571429,0.782467532467533,FALSE
0.79,0.777777777777778,0.636363636363636,1,0.818181818181818,FALSE
0.8,0.777777777777778,0.636363636363636,1,0.818181818181818,FALSE
0.81,0.777777777777778,0.636363636363636,1,0.818181818181818,FALSE
0.82,0.777777777777778,0.636363636363636,1,0.818181818181818,FALSE
0.83,0.777777777777778,0.636363636363636,1,0.818181818181818,FALSE
0.84,0.75,0.590909090909091,1,0.795454545454545,FALSE
0.85,0.75,0.590909090909091,1,0.795454545454545,FALSE
0.86,0.75,0.590909090909091,1,0.795454545454545,FALSE
0.87,0.722222222222222,0.545454545454545,1,0.772727272727273,FALSE
0.88,0.694444444444444,0.5,1,0.75,FALSE
0.89,0.694444444444444,0.5,1,0.75,FALSE
0.9,0.694444444444444,0.5,1,0.75,FALSE
0.91,0.694444444444444,0.5,1,0.75,FALSE
0.92,0.666666666666667,0.454545454545455,1,0.727272727272727,FALSE
0.93,0.638888888888889,0.409090909090909,1,0.704545454545455,FALSE
0.94,0.555555555555556,0.272727272727273,1,0.636363636363636,FALSE
0.95,0.555555555555556,0.272727272727273,1,0.636363636363636,FALSE
