"outer_fold","rank","gene"
4,19,"DDX51"
4,20,"SIX4"
4,21,"ALYREF"
4,22,"TLR10"
4,23,"SLC29A4"
4,24,"OGFOD3"
4,25,"SMPDL3A"
4,26,"BIRC5"
4,27,"RNF165"
4,28,"SCARF2"
4,29,"TICRR"
4,30,"CEP131"
4,31,"PSMD3"
4,32,"DLX6-AS1"
4,33,"EPN2"
4,34,"EPHB3"
4,35,"RASL10B"
4,36,"LLGL1"
4,37,"TBKBP1"
4,38,"TRIM71"
4,39,"DOK6"
4,40,"E2F1"
4,41,"DACT3"
4,42,"BLK"
4,43,"FIGNL2"
4,44,"MEOX2"
4,45,"IGF2"
4,46,"ULK1"
4,47,"MARK4"
4,48,"CDH24"
4,49,"HIC2"
4,50,"FKBP4"
4,51,"RELN"
4,52,"LINC00426"
4,53,"HCP5"
4,54,"FBL"
4,55,"MEX3B"
4,56,"TLR1"
4,57,"PLCG2"
4,58,"ASTN2"
4,59,"SUPT5H"
4,60,"CPNE5"
4,61,"PATL2"
4,62,"PTOV1"
4,63,"SAMD4B"
4,64,"KIF18B"
4,65,"BCL2L12"
4,66,"FCMR"
4,67,"DLC1"
4,68,"FAM111A-DT"
4,69,"TBX2"
4,70,"PPP5C"
4,71,"NYNRIN"
4,72,"TOMM40"
4,73,"SQLE"
4,74,"ERCC2"
4,75,"MEX3A"
4,76,"VASH2"
4,77,"COX17"
4,78,"ERAP2"
4,79,"ARL6IP5"
4,80,"LPXN"
4,81,"ADAMTS7"
4,82,"CDC6"
4,83,"UBE2J1"
4,84,"PLK2"
4,85,"EML5"
4,86,"ERMN"
4,87,"MS4A1"
4,88,"MDC1"
4,89,"ALPK1"
4,90,"KLRD1"
4,91,"OCIAD2"
4,92,"MED24"
4,93,"PRKCH"
4,94,"RCOR2"
4,95,"WTIP"
4,96,"FAM171A2"
4,97,"ST6GAL2"
4,98,"DRP2"
4,99,"TRO"
4,100,"C19orf47"
5,1,"MIR155HG"
5,2,"CLEC12A"
5,3,"ITPR1"
5,4,"PLA2G2D"
5,5,"FCRL3"
5,6,"TLR1"
5,7,"GZMK"
5,8,"ZNF267"
5,9,"TIFAB"
5,10,"SDR42E1"
5,11,"CXCL13"
5,12,"KMO"
5,13,"TNFRSF9"
5,14,"FCRL1"
5,15,"CCL19"
5,16,"RASGRP1"
5,17,"P2RY10"
5,18,"BTLA"
5,19,"RASGEF1A"
5,20,"TUBA4A"
5,21,"SH2D1A"
5,22,"BRPF3"
5,23,"CXCL9"
5,24,"COL20A1"
5,25,"S1PR4"
5,26,"PDCD1"
5,27,"VARS2"
5,28,"SCARF2"
5,29,"ANKRD22"
5,30,"IFNG-AS1"
5,31,"APOL3"
5,32,"TRIM71"
5,33,"PTPN7"
5,34,"THEMIS"
5,35,"GZMA"
5,36,"ITSN2"
5,37,"RASL10B"
5,38,"SLAMF7"
5,39,"CD3D"
5,40,"HLA-DQB1"
5,41,"HLA-DOA"
5,42,"PARP15"
5,43,"MS4A1"
5,44,"DENND2A"
5,45,"MIR29B2CHG"
5,46,"CD52"
5,47,"ABCD2"
5,48,"TRBC1"
5,49,"RAB37"
5,50,"TICRR"
5,51,"CD96"
5,52,"CD22"
5,53,"HLA-DQA1"
5,54,"CYLD"
5,55,"GVINP1"
5,56,"CASP17P"
5,57,"DGLUCY"
5,58,"ZC3H12D"
5,59,"P2RY13"
5,60,"TIGIT"
5,61,"ADAM28"
5,62,"NCEH1"
5,63,"IL18"
5,64,"VNN2"
5,65,"PTPRC"
5,66,"SAMD3"
5,67,"FCRL2"
5,68,"NAAA"
5,69,"VPS13C"
5,70,"CD8A"
5,71,"RHOH"
5,72,"TLR6"
5,73,"PATL2"
5,74,"ADAMTS7"
5,75,"PTPN22"
5,76,"OGFRL1"
